fecha_dato,ncodpers,ind_empleado,pais_residencia,sexo,age,fecha_alta,ind_nuevo,antiguedad,indrel,ult_fec_cli_1t,indrel_1mes,tiprel_1mes,indresi,indext,conyuemp,canal_entrada,indfall,tipodom,cod_prov,nomprov,ind_actividad_cliente,renta,segmento,ind_ahor_fin_ult1,ind_aval_fin_ult1,ind_cco_fin_ult1,ind_cder_fin_ult1,ind_cno_fin_ult1,ind_ctju_fin_ult1,ind_ctma_fin_ult1,ind_ctop_fin_ult1,ind_ctpp_fin_ult1,ind_deco_fin_ult1,ind_deme_fin_ult1,ind_dela_fin_ult1,ind_ecue_fin_ult1,ind_fond_fin_ult1,ind_hip_fin_ult1,ind_plan_fin_ult1,ind_pres_fin_ult1,ind_reca_fin_ult1,ind_tjcr_fin_ult1,ind_valo_fin_ult1,ind_viv_fin_ult1,ind_nomina_ult1,ind_nom_pens_ult1,ind_recibo_ult1
2015-01-28,1050935,N,ES,V,25.0,2012-08-10, 0,     35,1.0,,1.0,I,S,N,,KHE,N,1.0,46.0,VALENCIA,0.0,47843.46,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
2015-01-28,1050824,N,ES,H,24.0,2012-08-10, 0,     35,1.0,,1.0,I,S,N,,KHE,N,1.0,37.0,SALAMANCA,0.0,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
2015-01-28,1050144,N,ES,H,22.0,2012-08-10, 0,     35,1.0,,1.0,A,S,N,,KHD,N,1.0,8.0,BARCELONA,1.0,95743.98,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
2015-01-28,1050194,N,ES,H,23.0,2012-08-10, 0,     35,1.0,,1.0,A,S,N,,KHE,N,1.0,2.0,ALBACETE,1.0,52777.5,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
2015-01-28,1051981,N,ES,V,22.0,2012-08-16, 0,     35,1.0,,1.0,A,S,N,,KHD,N,1.0,50.0,ZARAGOZA,1.0,37393.35000000001,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
2015-01-28,1051962,N,ES,V,22.0,2012-08-16, 0,     35,1.0,,1.0,I,S,N,,KHD,N,1.0,41.0,SEVILLA,0.0,159339.54,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
2015-01-28,1051234,N,ES,V,22.0,2012-08-13, 0,     35,1.0,,1.0,I,S,N,,KHD,N,1.0,31.0,NAVARRA,0.0,,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
2015-01-28,1050086,N,ES,V,29.0,2012-08-10, 0,     35,1.0,,1.0,I,S,N,,KHE,N,1.0,45.0,TOLEDO,0.0,20079.75,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
2015-01-28,1048888,N,ES,V,23.0,2012-08-09, 0,     35,1.0,,1.0,A,S,N,,KHE,N,1.0,50.0,ZARAGOZA,1.0,117580.11000000002,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
2015-01-28,1048896,N,ES,H,24.0,2012-08-09, 0,     35,1.0,,1.0,I,S,N,,KHE,N,1.0,28.0,MADRID,0.0,160129.71,03 - UNIVERSITARIO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
